;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
8273;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;380;41;0;0;27;27;0;0;0;3;2;0;16;2;0;2,0;27;0;2;0;1;4,0;78,18;9;124;12;67;26;44;54;0;1;4;0;1,1;0,0;1,1;0,0;0,0;0,0;0,55;5;5;0;0;1,0;5;0;1,25;2,8;1;0,55;2,5;180 days 23:59:59.000000000
13132;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1677;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0,0;10;17;2;9;9;3;5;0;0;0;0;0,0;4,4;0,0;5,5;0,0;5,5;2,75;0;0;0;0;0,0;0;0;0,0;2,75;1;2,75;0,0;181 days 23:59:59.000000000
8034;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;300;12;0;0;1;5;0;0;0;0;0;0;22;3;0;0,0;2;0;2;0;0;0,0;0,0;2;13;3;8;3;4;6;0;1;0;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;0;0;0;0;0,0;0;0;0,0;2,75;1;2,75;0,0;180 days 23:59:59.000000000
8277;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;284;4;0;0;0;6;0;0;3;2;0;0;11;1;0;8,0;8;1;1;0;1;1,0;78,97;10;36;6;24;4;11;21;0;1;5;0;3,85;0,0;3,85;0,0;0,0;0,0;1,925;3;5;0;0;0,8;0;0;0,0;2,725;1;1,925;2,0;180 days 23:59:59.000000000
8334;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;407;19;0;0;3;6;0;0;0;0;0;0;23;3;0;1,0;6;0;3;0;1;2,0;79,49;34;53;7;38;9;13;29;2;1;2;0;3,3;0,0;3,3;0,0;0,0;0,0;1,65;5;5;0;0;1,0;0;0;0,0;2,65;1;1,65;2,5;180 days 23:59:59.000000000
8234;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;101;37;0;0;2;16;0;0;0;1;0;0;13;2;0;44,5;11;0;3;0;2;2,0;76,73;8;72;9;48;26;18;25;3;2;2;0;3,3;0,0;3,3;0,0;0,0;0,0;1,65;5;5;0;0;1,0;0;0;0,0;2,65;1;1,65;2,5;180 days 23:59:59.000000000
8337;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;72;31;0;0;2;5;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1,0;0,0;17;48;2;41;9;12;27;0;0;0;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;0;0;0;0;0,0;0;0;0,0;2,475;1;2,475;0,0;180 days 23:59:59.000000000
8170;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;247;33;0;0;0;13;0;0;0;2;0;0;14;2;0;1,0;15;0;4;0;2;4,0;75,37;61;124;12;61;23;51;44;6;1;4;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;5;5;0;0;1,0;0;0;0,0;2,375;1;1,375;2,5;180 days 23:59:59.000000000
8198;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;324;4;0;0;0;5;0;0;0;0;0;0;11;1;0;8,0;5;0;1;0;1;2,0;78,55;36;55;6;33;7;26;22;0;1;2;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;5;5;0;0;1,0;0;0;0,0;2,375;1;1,375;2,5;180 days 23:59:59.000000000
8199;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;394;10;0;0;0;1;0;0;0;2;0;0;0;0;0;0,0;6;0;0;0;0;1,0;69,43;19;38;8;23;4;25;9;0;0;2;0;3,3;0,0;3,3;0,0;0,0;0,0;1,65;3;4;0;0;0,7;0;0;0,0;2,35;1;1,65;1,75;180 days 23:59:59.000000000
8020;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;104;7;0;0;19;23;0;0;0;4;2;0;16;2;0;0,0;33;0;1;0;1;5,0;73,04;128;135;18;91;39;44;46;6;1;4;0;1,65;0,0;1,65;0,0;0,0;0,0;0,825;5;5;5;0;1,5;0;0;0,0;2,325;1;0,825;3,75;180 days 23:59:59.000000000
8344;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;110;19;0;0;12;18;0;0;0;1;3;0;22;3;0;0,0;6;0;1;0;1;2,0;65,03;49;56;9;45;14;18;24;0;1;1;0;3,85;0,0;3,85;0,0;0,0;0,0;1,925;4;0;0;0;0,4;0;0;0,0;2,325;1;1,925;1,0;180 days 23:59:59.000000000
13133;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1884;3;0;0;0;1;0;0;1;0;0;0;16;2;0;1,5;11;0;0;2;1;1,0;71,43;9;42;10;28;4;8;30;0;2;4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;5;0;0;0,9;0;5;1,25;2,15;1;0,0;2,25;181 days 23:59:59.000000000
8025;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;260;28;0;0;0;3;0;0;0;2;0;0;13;2;0;0,0;12;0;1;0;1;2,0;75,42;44;61;11;40;9;21;30;1;1;2;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;2;4;0;0;0,6;0;0;0,0;1,975;1;1,375;1,5;180 days 23:59:59.000000000
8322;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;246;18;0;0;0;5;0;0;0;2;0;0;12;2;0;0,0;13;0;1;0;1;2,0;89,1;40;73;15;34;24;24;22;3;1;2;0;0,55;0,0;0,55;0,0;0,0;0,0;0,275;5;0;1;0;0,6;0;0;0,0;0,875;1;0,275;1,5;180 days 23:59:59.000000000
8124;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;421;8;0;0;26;35;0;0;0;0;2;0;0;0;0;0,0;0;0;0;0;0;2,0;0,0;16;60;0;39;14;29;15;2;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 23:59:59.000000000
8079;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 23:59:59.000000000
13208;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1839;75;0;0;4;7;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;5,0;0,0;7;134;0;60;20;54;59;1;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
