;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
17178;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1040;5;0;0;1;4;1;1;0;0;0;0;13;2;0;2,0;9;4;0;0;0;2;6,0;78,55;138;2,0;2,0;179;24;91;70;64;45;0;2;4;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;5;0;1,5;6;5;2,75;7,0;0;2,75;3,75;181 days 23:59:59.000000000
17221;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;867;12;0;0;1;2;0;0;0;0;0;0;15;2;0;0,0;20;3;0;0;0;2;3,0;68,68;16;0,0;0,0;80;21;37;9;23;37;11;2;3;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;4;5;2,25;6,225;0;2,475;3,75;181 days 23:59:59.000000000
17385;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
17410;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;864;51;0;0;0;3;0;0;0;0;0;0;20;3;0;30,0;10;3;0;0;0;2;5,0;59,51;26;30,0;30,0;136;58;82;22;36;76;2;2;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;5;0;1,5;6;6;3,0;7,25;0;2,75;3,75;181 days 23:59:59.000000000
17419;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;446;5;0;0;0;0;0;0;0;0;0;0;12;2;0;37,0;11;3;0;0;0;0;1,0;53,78;38;37,0;37,0;45;14;38;15;15;9;6;2;3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;5;5;0;1,5;0;0;0,0;1,5;1;0,0;3,75;181 days 23:59:59.000000000
17435;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;986;15;0;0;3;7;0;0;0;0;1;0;15;2;0;2,0;9;3;0;0;0;2;3,0;73,39;25;2,0;2,0;89;23;50;11;35;42;1;2;3;0;4,95;3,85;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;4;5;2,25;6,225;0;2,475;3,75;181 days 23:59:59.000000000
17616;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1143;10;0;0;1;3;0;0;1;0;0;0;11;1;0;14,0;7;3;0;0;0;2;3,0;69,38;49;14,0;14,0;93;28;54;37;35;21;0;2;3;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;5;6;2,75;6,725;0;2,475;3,75;181 days 23:59:59.000000000
17625;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;996;19;0;0;3;10;1;2;1;0;1;0;7;1;0;21,0;11;5;0;0;0;2;5,0;73,37;105;21,0;21,0;134;33;72;45;35;42;12;2;5;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;4;5;2,25;6,225;0;2,475;3,75;181 days 23:59:59.000000000
17952;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1994;12;0;0;7;12;0;0;0;0;1;0;8;1;0;40,5;8;3;0;0;0;2;2,0;66,99;15;40,5;40,5;75;17;50;34;24;17;0;2;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;5;0;1,5;5;3;2,0;6,25;0;2,75;3,75;181 days 23:59:59.000000000
17980;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;959;18;0;0;1;7;0;0;0;0;0;0;18;3;0;43,0;13;3;0;0;1;1;1,0;71,21;17;43,0;43,0;50;4;33;5;13;30;2;2;3;0;4,95;3,3;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;5;5;2,5;6,475;0;2,475;3,75;181 days 23:59:59.000000000
18194;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;964;4;0;1;15;16;0;0;0;0;4;0;11;1;0;22,0;31;7;0;0;0;2;6,0;74,11;89;22,0;22,0;171;62;104;51;74;46;0;2;7;0;5,5;4,4;5,5;0,0;0,0;0,0;2,75;5;5;5;0;1,5;4;4;2,0;6,25;0;2,75;3,75;181 days 23:59:59.000000000
18440;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;984;45;0;0;0;7;0;0;0;0;0;0;18;3;0;8,0;20;3;0;0;0;2;5,0;71,7;1;8,0;8,0;152;34;68;35;59;57;1;2;3;0;4,95;3,85;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;5;5;2,5;6,475;0;2,475;3,75;181 days 23:59:59.000000000
18442;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;871;12;0;0;16;13;0;0;0;0;0;0;19;3;0;43,0;22;3;0;0;0;2;9,0;65,12;158;43,0;43,0;253;70;96;52;78;116;7;2;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;5;0;1,5;4;6;2,5;6,75;0;2,75;3,75;181 days 23:59:59.000000000
18464;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;990;10;0;0;4;15;0;0;0;0;0;0;15;2;0;14,0;8;3;0;0;0;2;2,0;74,41;49;14,0;14,0;57;22;33;5;38;14;0;2;3;0;5,5;3,85;5,5;0,0;0,0;0,0;2,75;5;4;5;0;1,4;4;4;2,0;6,15;0;2,75;3,5;181 days 23:59:59.000000000
18657;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
18788;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1019;9;0;0;0;11;0;0;0;0;0;0;20;3;0;1,5;0;0;0;0;0;2;0,0;0,0;5;1,5;1,5;24;9;19;7;2;15;0;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
18885;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1071;5;0;0;0;3;0;0;0;0;0;0;15;2;0;7,0;11;3;0;0;0;2;5,0;73,14;103;7,0;7,0;131;43;62;53;29;46;3;2;3;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;5;5;5;0;1,5;5;6;2,75;6,45;0;2,2;3,75;181 days 23:59:59.000000000
18934;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;922;8;0;0;0;3;0;0;0;0;0;0;12;2;0;33,5;6;2;0;0;0;2;2,0;59,96;27;33,5;33,5;56;25;39;28;22;6;0;2;2;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;5;5;0;0;1,0;4;5;2,25;5,45;0;2,2;2,5;181 days 23:59:59.000000000
19050;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
19117;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;870;8;0;0;17;13;0;0;0;0;0;0;15;2;0;39,5;22;3;0;0;0;7;5,0;70,78;64;39,5;39,5;146;58;66;21;20;91;14;2;3;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;1;6;1,75;5,725;0;2,475;3,75;181 days 23:59:59.000000000
19124;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;952;8;0;0;0;2;0;0;0;0;0;0;19;3;0;6,0;6;2;0;0;0;2;3,0;86,58;6;6,0;6,0;84;21;47;32;36;16;0;2;2;0;2,2;1,65;2,2;0,0;0,0;0,0;1,1;0;5;5;0;1,0;5;6;2,75;4,85;0;1,1;2,5;181 days 23:59:59.000000000
19450;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;909;35;0;0;11;14;0;0;0;0;2;0;14;2;0;23,5;14;3;0;0;0;2;6,0;69,24;62;23,5;23,5;180;46;74;36;47;84;13;2;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;5;0;1,5;6;5;2,75;7,0;0;2,75;3,75;181 days 23:59:59.000000000
19454;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;934;29;0;0;0;2;0;0;1;0;0;0;18;3;0;20,5;8;2;0;0;0;3;2,0;59,96;8;20,5;20,5;72;18;32;22;11;38;1;2;2;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;4;0;0;0,9;5;4;2,25;5,625;0;2,475;2,25;181 days 23:59:59.000000000
